Symbol,0
AAPL,volatility: -0.81%... This is a good time to sell.
MSFT,volatility: -0.4%... This is a good time to sell.
AMZN,volatility: -0.35%... This is a good time to sell.
NVDA,volatility: -1.1%... This is a good time to sell.
GOOGL,volatility: +0.76%... This is a good time to buy.
GOOG,volatility: +0.78%... This is a good time to buy.
TSLA,volatility: -1.32%... This is a good time to sell.
META,volatility: -1.05%... This is a good time to sell.
UNH,volatility: +0.35%... This is a good time to buy.
XOM,volatility: -0.11%... This is a good time to sell.
JNJ,volatility: +0.23%... This is a good time to buy.
JPM,volatility: -0.48%... This is a good time to sell.
V,volatility: -0.88%... This is a good time to sell.
PG,volatility: +0.4%... This is a good time to buy.
MA,volatility: -0.71%... This is a good time to sell.
CVX,volatility: -0.31%... This is a good time to sell.
HD,volatility: -0.49%... This is a good time to sell.
LLY,volatility: +0.72%... This is a good time to buy.
ABBV,no volatility: 0.0%
MRK,volatility: +0.97%... This is a good time to buy.
AVGO,volatility: -0.77%... This is a good time to sell.
PEP,volatility: -0.19%... This is a good time to sell.
KO,volatility: +0.1%... This is a good time to buy.
PFE,volatility: +0.91%... This is a good time to buy.
TMO,volatility: +0.17%... This is a good time to buy.
COST,volatility: -3.04%... This is a good time to sell.
WMT,volatility: -0.58%... This is a good time to sell.
CSCO,volatility: -1.74%... This is a good time to sell.
MCD,volatility: +0.15%... This is a good time to buy.
BAC,volatility: +0.29%... This is a good time to buy.
CRM,volatility: -0.67%... This is a good time to sell.
ABT,volatility: +0.27%... This is a good time to buy.
DIS,volatility: -0.47%... This is a good time to sell.
ACN,volatility: -0.24%... This is a good time to sell.
LIN,volatility: -0.94%... This is a good time to sell.
ADBE,volatility: -0.71%... This is a good time to sell.
VZ,volatility: +0.1%... This is a good time to buy.
DHR,volatility: +0.29%... This is a good time to buy.
TXN,volatility: +1.29%... This is a good time to buy.
CMCSA,volatility: +0.32%... This is a good time to buy.
NEE,volatility: +0.6%... This is a good time to buy.
PM,volatility: +0.01%... This is a good time to buy.
NFLX,volatility: -0.88%... This is a good time to sell.
BMY,volatility: +0.64%... This is a good time to buy.
NKE,volatility: -1.15%... This is a good time to sell.
AMD,volatility: -1.18%... This is a good time to sell.
ORCL,volatility: -0.59%... This is a good time to sell.
WFC,volatility: +0.6%... This is a good time to buy.
RTX,volatility: +0.01%... This is a good time to buy.
T,volatility: +0.26%... This is a good time to buy.
UPS,volatility: -0.56%... This is a good time to sell.
QCOM,volatility: -0.57%... This is a good time to sell.
INTC,volatility: -0.7%... This is a good time to sell.
AMGN,volatility: +0.39%... This is a good time to buy.
COP,volatility: -0.79%... This is a good time to sell.
HON,volatility: +0.1%... This is a good time to buy.
INTU,volatility: -1.04%... This is a good time to sell.
UNP,volatility: +0.2%... This is a good time to buy.
SBUX,no volatility: 0.0%
LOW,volatility: -0.66%... This is a good time to sell.
BA,no volatility: 0.0%
IBM,volatility: +0.02%... This is a good time to buy.
